,pct_lt_18,pct_65_and_over,pct_alcoholimpaired,hosp_pp_rate,pct_female,pct_free_or_reduced_lunch,pct_hispanic,pct_good_air,pop_dens,pct_long_commute_drives_alone,chronic_kidney_disease_pct,pct_nonhispanic_white,pct_physically_inactive,pct_rural,chronic_kidney_disease_std_spend,pct_severe_housing_cost_burden,pct_some_college,pct_unemployed,pct_uninsured,diabetes_pct,diabetes_std_spend,pct_lack_basic_literacy,average_daily_pm2.5,budget_air,budget_disease,budget_emergency,budget_environmental,budget_health_equity,budget_health_svcs,budget_laboratory_svcs,budget_planning,budget_prevention,budget_water,pct_food_insecure,diab_hosp_rate_adj,pct_limited_access,fips,county,state,graduation_rate,life_expectancy,mds_dos_pp_rate,mentally_unhealthy_days,inadequate_facilities,overobese_pct,mhp_rate,overcrowding,pcp_rate,preventable_hosp._rate,pct_adult_uninsured,sdoh_score_1,sdoh_score_2,sdoh_score_3,sdoh_score_4,sdoh_score_5,sdoh_score_6,teen_birth_rate,violent_crime_rate,ann_avg_job_growth_2004_2013,pct_staying_in_same_tract_as_adults_rp_gp_pall,race_estimate_total_american_indian_and_alaska_native_alone,race_estimate_total_asian_alone,race_estimate_total_black_or_african_american_alone,race_estimate_total_native_hawaiian_and_other_pacific_islander_alone,race_estimate_total_some_other_race_alone,race_estimate_total_two_or_more_races,race_estimate_total_white_alone,pct_only_english,median_income,gini_index_of_income_inequality_estimate_gini_index,association_rate,med_2br_rent_per_med_inc,walk_score,diabetes_incidence_2016,diabetes_prevalence_2016,obesity_prevalence_2016,diabetes_incidence_5_year_diff,diabetes_prevalence_5_year_diff,obesity_prevalence_5_year_diff
27,15.677877585,19.344056821,23.529411765,0.0,47.451430959,26.923076923000004,7.102569459,53.76,23.0,52.7,19.2982,88.58366409,14.4,100.0,20902.658563,8.304175414,75.91973244100001,2.61404408,6.217001056,15.1629,15699.841314,5.0,4.6,0.0,0.0,6.1503982532739165,6.876094351081831,0.0,0.0,0.0,9.951720458242328,0.0,58.355434983846465,10.7,713.11,2.3458862855,8019,Clear Creek County,CO,81.034482759,82.672006039,0.0,3.1038075938,1.0638297872,51.9,41.77982,0.8037825059,70.3505831147541,1894.0,6.619695231900001,0.7910254856582856,0.4918669615422904,0.4759525944220634,0.61448619422811,0.4630480257619812,0.2701721571026052,13.254786451,562.54136334,-0.9214066,11.22,0.6481581505887436,0.8642108674516581,0.8750135032948041,0.2052500810197688,0.594144971373015,2.5170141514529543,94.29620827481907,95.61591344528343,68534.0,0.4399,6.358626536699999,14.933986342545305,30.0,8.8,9.1,27.4,0.9,1.5,6.2
28,18.235527359000002,14.484536082,55.555555556,3.886060700268138e-05,47.807295796999995,21.426517112,7.0103092784,99.72,10.0,23.0,10.8505,89.758128469,9.9,45.178442299,17704.730272,17.854778195,75.31671434399999,2.3817166335,8.3995835699,8.9254,10735.257336,5.0,3.9,0.3247410790958246,0.0,5.274212039847435,9.762957593630242,0.0,1.9097019867234308,8.428269094550677,6.698550655122834,1.2244636778867926,61.58536476937978,11.8,420.0,5.3101406437,8107,Routt County,CO,94.39655172399999,83.224997827,0.0,3.3523511711,0.901378579,50.7,297.38302999999996,1.5906680806,113.59948,2861.0,9.2205438066,0.6891454955926416,1.0,0.6063581549983664,0.5777235170727781,0.4638729591101099,0.31233070068941216,9.2004381161,159.39811273,0.044111218,14.28,0.6445256373414343,1.0755778151812472,0.7923149554579416,0.012315776509708935,1.876103288312328,0.8579990968430559,94.74116343035429,93.04239722210316,67472.0,0.4684,14.605647517000001,18.94277152003794,88.0,4.3,4.6,19.0,-0.7,-0.5,1.4
29,16.086316822,12.911557952999999,26.315789474000002,3.225078208146548e-05,46.20892594399999,33.25836379,13.983979075,0.0,46.0,14.8,10.008,82.54046101,8.4,19.518468243,15215.885019,19.81369863,71.998805495,1.862958924,11.146544609000001,6.6453,7507.1739548,8.0,4.1,0.0,0.0,2.3734579213790115,9.225173154099707,0.0,0.3904647857281708,24.031952162468663,3.4654871448455573,0.0,56.73006865182885,10.8,297.66,6.5519517864,8117,Summit County,CO,95.022624434,94.65908285299999,6.450156416293096e-05,3.0959485035000003,2.2178413011,43.3,274.64443,3.2035485461,72.43037,1163.0,12.171761148,0.6221191035956241,0.928381772940409,0.6194761882991592,0.6251764671482778,0.6667299987760321,0.2706618187386876,17.386722866,175.97667052,1.9990603999999998,15.77,0.2624318686494853,0.44411547002220575,0.9521566516385171,0.2422448018302941,6.0359329789381615,1.9783325482807348,90.0847856806406,85.33239535701723,73538.0,0.4333,8.2307236452,20.865928907503605,58.0,5.4,5.6,20.9,-0.699999999999999,-0.30000000000000104,4.0
30,23.980424144,13.135157995999998,31.25,5.9941257567583765e-05,49.761343725,62.708649468999994,45.713249955,97.5,21.4,11.4,16.067,48.655670352,17.0,36.866299773,23475.402602,14.188600314,59.28863869,3.4264884569,12.683598531,22.3945,12072.815056,14.000000000000002,4.6,0.14283103897370644,0.0,6.425937208010975,16.83536735049984,0.0,0.4825440167353679,15.231469056990008,7.211860030693054,0.0,47.79035015895277,13.0,1514.98,2.6244486406,8003,Alamosa County,CO,77.215189873,76.542927339,0.0,4.0673163514,0.5059021922,60.5,1419.8537900000001,3.0354131535000004,72.05476,2816.0,15.475805582000001,0.4296968972287564,0.8571875131145207,0.5458173983073678,0.7029307742150793,0.2890883566692657,0.5008681074200027,22.147147147,189.2135731414677,-1.4329617,23.24,2.569593147751606,1.2480881003364943,2.4961762006729886,0.22025084123585195,4.3805445090241655,2.9978586723768736,86.08748852860201,70.66815437122604,36315.0,0.4846,11.40867059,22.184022800495672,76.0,9.8,9.7,30.7,0.100000000000001,1.0,5.1
31,20.063465062,25.23226904,59.090909091,3.230704616676897e-05,49.856058623,57.073662967,15.247971735,93.27,27.1,28.2,12.7523,81.245092908,18.4,63.172008271,16982.933397,17.334824501,44.126879233000004,3.8935710803,10.292928385,14.4404,11369.934777,12.0,5.3,5.128082368644816,0.14255665948644886,1.933227395868233,4.114983510072038,2.3952546697170902,10.091928631255124,26.212387366268448,5.5743075219029175,0.0,40.48066501746479,13.4,979.2,3.4535023461,8029,Delta County,CO,88.0,78.594742253,0.0,3.783719284100002,0.6218905472999999,65.2,147.21277,3.3167495854,78.83845,2651.0,11.953048181,0.4090182252775442,0.6840795316739982,0.4556628778245305,0.6922508838345085,0.5657712028119015,0.4832053638141605,34.185197478,84.29694515199999,-1.008397,21.4,0.9597246583049276,0.9630340536783928,1.1549789853393786,0.0,1.6149849422510512,1.320448754012642,93.9868286064136,89.75557027790371,42487.0,0.4863,14.453715262000001,21.938114905735873,73.0,10.2,9.9,32.3,0.39999999999999897,1.3,5.9
32,16.352320276,21.156878824,30.23255814,2.082422273588638e-05,42.198111819,52.216174183999996,13.330810152,100.0,30.5,22.8,17.889,79.103849955,18.0,26.420211856999998,17488.283073,12.676755148,40.578499848,4.2893131795,8.593511644500001,21.11,12402.045813,12.0,5.0,0.05463734765063192,0.0,9.08627459312081,2.5089211621282628,0.0,10.211384945334748,4.9804803460877265,7.312052246397627,0.0,59.66174276489381,14.2,1267.94,11.373338517999999,8043,Fremont County,CO,78.512396694,77.952622402,0.0,3.8107302363,0.76499388,57.99999999999999,304.88446,1.2484700122,48.47616,2433.0,9.9855216722,0.477085807722724,0.5867430947459691,0.2706670909993305,0.5056190815703051,0.3936166128899308,0.4875988405830298,33.03874915,225.26871339,-3.0385097000000005,18.44,1.2338791013068386,0.7274522005965537,4.602905517048991,0.0579386708439733,1.2124203343275897,1.8926632475697944,90.27274092830628,92.4362062812277,44712.0,0.4401,10.116764322,18.829465378421897,7.0,8.8,8.5,31.8,-1.2,-0.4,6.3
33,22.724733443,18.044751464,42.424242424,1.7907347384631914e-05,50.72233068,64.11723567899999,43.000450518,95.12,66.7,22.2,22.0498,52.163988587,19.8,14.153511502,20785.261721000006,16.299717064,62.279176432,4.3268972915,7.838633373099999,26.0784,13793.300652000002,13.0,6.0,0.3343686939893377,0.0,3.103361553596424,8.068542033705237,0.0,3.2140945523610265,6.524529559118832,5.130120048061147,3.5115199789084324,63.306535139193365,10.4,2214.9,16.040452446,8101,Pueblo County,CO,81.038506418,76.95232360899999,1.193823158975461e-05,4.1921171075,1.3436158372,63.2,471.54227000000003,1.955795834,62.98335,3489.0,9.5265704557,0.3897776220076397,0.34873807641257704,0.6916485878626603,0.6687577065886208,0.22507853468869396,0.5769945535853802,34.247861185,629.90730185,0.35128647,19.68,3.557000146907596,0.8832819156750404,2.2158562264335733,0.08630821213456738,11.389011311884826,4.1476911022966565,77.72085108466773,85.84154872295429,42386.0,0.4535,8.4179672123,21.691778228660407,16.0,10.3,9.6,33.4,-0.699999999999999,0.4,4.0
34,21.991671453000002,22.616312464,48.275862069,2.3688823613019376e-05,50.710798392,49.000152648000004,20.646659008,78.83,18.4,14.8,13.0648,76.11765269,15.0,44.989824595,19777.469764,16.092447277999998,52.763993076000006,3.3022700119,12.453151082,15.8294,11309.415678,12.0,5.0,0.02821156638243635,0.0,6.055383712451094,9.862075245080018,0.0,0.0,15.655317746507073,5.730200603288082,0.0,62.42066019698669,12.5,986.43,10.191973725,8085,Montrose County,CO,80.93306288,79.73995426399999,0.0,3.637196711,1.1627906977,58.3,236.9328,3.160405486,62.69441,3597.0,14.747448312000001,0.5072360270900274,0.6894788235301573,0.4099190639053987,0.5730598636357382,0.5119190006364758,0.10474522270520244,31.738885763000003,134.4240888,-0.39032376,19.81,0.7944656301945829,0.8189107265082626,0.4229001662266549,0.371565463967928,2.3565072846387007,1.6427104722792611,93.59294025618459,83.71665371665372,44865.0,0.4186,9.8864266596,20.009861852223338,28.0,7.8,8.1,25.6,0.2,1.2,-0.19999999999999896
35,25.971906924000002,15.429909194,17.142857143,7.003291547027102e-05,49.517593643999994,62.30123280300001,36.311719636999996,0.0,22.0,14.7,16.6105,58.654937571000005,20.6,32.547320572,23091.366171,9.4790442617,50.235086688,2.4433698142,11.960835059,24.0022,14661.318902,22.0,6.3,0.0,0.012300122148874994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.43167621698967,8.1,1865.9,4.4384452536,8087,Morgan County,CO,84.146341463,77.751237167,0.0,3.532365579,1.6794625719999998,69.9,212.82633,4.6065259117,56.58909,3335.0,14.610267353,0.5581705265029423,0.3418273058814377,0.28557868847963463,0.7838431980325341,0.4551756429256708,0.11873220917326925,38.888888889,202.82873649,0.031675663,25.61,0.3911389254346976,0.5404828787824911,3.082885894108025,0.10667425239128116,3.9611705721295736,4.441204707890337,87.47644276926357,73.2259919493962,51456.0,0.3996,12.025182145999999,16.284649486940307,81.0,12.8,12.0,40.2,3.2,3.3,5.3
36,15.531974309,19.402401564,18.518518519,0.0,47.277296844,36.820083681999996,6.0988550684000025,100.0,7.4,66.4,14.34,89.030996928,14.8,100.0,18662.411254,11.486856517,69.991351975,2.4032305722,10.253669659,14.0684,12229.017604,6.0,4.5,0.0,0.0,7.942434346421263,8.993186988630725,0.0,0.0,21.171893529802727,10.003832598264305,0.0,24.958064683954877,9.6,702.42,13.563437002999999,8093,Park County,CO,87.5,81.81778579600001,0.0,3.1674898743,1.5027322404,55.7,72.60542000000002,1.2704918033,17.47641,2738.0,10.995647925999998,0.6853648301507741,0.4793215117448503,0.5178215190453119,0.5661631436256005,0.6126599378922262,0.09247402427413637,7.4189769621,112.33150275,-0.47558481,13.34,1.071005917159763,1.1005917159763314,0.19526627218934914,0.7396449704142011,0.5443786982248521,1.3727810650887575,94.97633136094672,96.64636022398622,61644.0,0.4056,6.4080158453,16.354471676075526,32.0,5.0,5.4,28.9,-1.8,-1.1,5.4
37,21.249622698,21.928765469000002,21.428571429,0.0,49.758527015,89.18918918899998,36.100211289,0.0,1.9,28.1,12.1859,58.859040145,17.8,100.0,19010.585983,14.320486815,50.126156433999995,4.4359576968,17.461600647,14.0704,12541.117826,23.0,4.1,0.0,0.0221650393759708,10.465444991758373,8.377555911644302,0.0,0.0,0.0,8.837201199199557,0.0,72.2976328580218,11.0,897.07,9.559264546,8109,Saguache County,CO,80.24691358,80.453515443,0.00014613473622680112,4.1857641976,2.0769230769,57.4,60.36825,4.6153846154,31.30380000000001,2062.0,19.955592562,0.23382445500046645,0.7622143109580647,0.7629285833142009,1.0,0.3874997550902865,0.14997491845707098,37.974683544,175.50857599,-1.0457819,19.6,1.3568949195329758,1.104449353108236,0.0,0.0,3.960239823288104,3.155569580309245,90.42284632376145,66.76656676656677,34765.0,0.4997,12.521521365,25.473896159930963,83.0,19.9,17.9,37.1,13.0,11.3,10.3
38,21.793214436,18.422857746,40.0,3.263558453595462e-05,50.538201773000004,49.694137638,14.561787674000001,70.14,44.1,14.7,14.5135,81.410932883,15.4,12.676267525,17455.318601,15.620759837,61.840015078,3.9795876931,9.3341927275,17.4076,11134.611235,9.0,6.4,0.7637133006301783,0.0,4.556357138255351,15.668510124185845,0.043007808367999216,0.755763680579628,8.828425123697139,6.4295047786795765,0.0,57.81125899367029,13.8,1153.27,9.5351035998,8077,Mesa County,CO,75.99538372800001,78.68724408199999,1.305423381438185e-05,3.9229969387,1.317233809,59.4,292.18552,1.8323060035,108.60657,3159.0,11.138028428,0.5030191876877013,0.5853658372887341,0.5167188262127846,0.5315494962117571,0.29622722270911983,0.3592626013254745,30.406104883,347.93466523,0.24673652,17.04,0.763451121654861,0.7170795306388527,0.7365690399064505,0.14986760574738908,1.254721165607065,2.349493944811086,94.02881759163431,93.59316947699345,51971.0,0.4473,8.8617631577,18.15640868946143,11.0,8.6,8.3,26.2,-0.4,0.4,0.30000000000000104
39,25.758077879000002,17.249378625,25.0,8.220979940808945e-05,50.033140017,63.080168776,38.053024027,98.33,7.7,10.9,23.8532,58.831814416,19.2,37.885427456,21021.898771,12.183173589,60.209992758999995,2.6222651223,12.937977199,28.2785,14339.119546000002,19.0,6.4,0.5900243643543446,0.0,4.004417692454959,18.77059313483748,0.0,0.3363344204711908,29.127043053993983,5.209322270420151,0.04569156695125357,41.85424181497285,10.3,2319.21,12.634270059,8099,Prowers County,CO,82.857142857,76.932773238,8.220979940808945e-05,3.7545572715,0.3913491246,72.9,198.8401,1.7507723996,33.55142,6075.0,15.800572375,0.4604828883566157,0.7102691332007546,0.513757564306809,0.6611345704248874,0.5453110172837367,0.04681012965264667,45.173267327,56.942975677,-2.7762583,23.26,0.2565375703409468,0.6454816285998014,0.4882489241972857,0.0,1.3819927176431646,2.0771267792121817,95.15061238000662,77.4869109947644,41740.0,0.4332,17.614494212,15.382396645903206,68.0,15.9,14.9,40.6,7.4,6.8,8.5
40,18.513853904,28.463476071,100.0,0.0,48.740554156,38.738738739,4.4080604534,0.0,0.8,11.3,16.8905,90.428211587,16.4,100.0,15606.282632,10.764872521,69.911504425,2.2357723577,11.794871795,18.44201481481481,5508.1770588,6.0,3.8,0.0,0.0,7.964768625296808,11.733563730339705,0.0,3.0718835041423818,0.0,20.191758381923105,0.0,55.81378679167632,12.3,255.29,3.285375334,8053,Hinsdale County,CO,75.0,80.76581954577966,0.0,3.5478039682,1.0126582278,55.8,251.88917,3.0379746835000003,0.0,2986.8360655737706,12.820512821,0.6382823427648329,0.5927458565440298,0.4912596012480092,0.6010011469907597,0.5576219282658683,0.08183075881833603,25.74546230447407,254.61489497,-3.7839267,27.20000000000001,2.317073170731708,0.0,0.0,0.0,1.3414634146341464,1.5853658536585369,94.75609756097559,94.56384323640957,53056.0,0.429,38.07106599,18.18455971049457,52.0,11.0,10.3,35.8,2.9,2.6,7.7
